TimeStamp;Over240P3;Over240P2;Over240P1;1VStepsP3;1VStepsP2;1VStepsP1
2017-04-29 08:47:17.927;;;;Up;Up;Up
2017-04-29 22:50:16.344;;;;Down;Down;Down
2017-04-29 22:50:25.707;;;;Down;Down;Down
2017-04-30 01:28:07.733;;;;Up;Up;Up
2017-04-30 03:34:55.248;;;;Down;Down;Down
2017-04-30 09:35:57.711;;;;Up;Up;Up
2017-04-30 10:31:36.589;;;;Down;Down;Down
2017-04-30 10:31:46.049;;;;Down;Down;Down
2017-04-30 14:42:33.187;;;;Down;Down;Down
2017-04-30 20:57:11.801;;;;Up;Up;Up
2017-04-30 23:05:04.001;;;;Down;Down;Down
2017-04-30 23:05:13.471;;;;Down;Down;Down
2017-05-01 09:05:36.735;;;;Up;Up;Up
2017-05-01 10:19:58.748;;;;Up;Up;Up
2017-05-01 11:20:03.918;;;;Down;Down;Down
2017-05-01 11:31:49.885;;;;Down;Down;Down
2017-05-01 21:15:26.957;;;;Up;Up;Up
2017-05-02 01:00:49.925;;;;Down;Down;Down
2017-05-02 06:03:24.119;;;;Up;Up;Up
2017-05-02 06:15:47.050;;;;Down;Down;Down
2017-05-02 06:24:43.032;;;;Down;Down;
2017-05-02 07:09:22.764;;;;Up;Up;Up
2017-05-02 07:09:32.221;;;;Up;Up;Up
2017-05-02 08:01:24.892;;;;Up;Up;Up
2017-05-02 08:01:34.241;;;;Up;Up;Up
2017-05-02 08:12:13.730;;;;Down;;
2017-05-02 08:12:32.541;;;;;Down;Down
2017-05-02 08:13:28.991;;;;;Down;
2017-05-02 08:15:59.420;;;;;Down;
2017-05-02 08:16:37.057;;;;;Up;
2017-05-02 08:17:24.069;;;;;Up;
2017-05-02 08:17:42.891;;;;Up;;
2017-05-02 08:20:03.908;;;;Up;Down;
2017-05-02 08:20:41.540;;;;Down;;Up
2017-05-02 08:21:09.734;;;;;Up;
2017-05-02 08:24:17.817;;;;;Up;
2017-05-02 08:24:46.079;;;;;Down;
2017-05-02 08:24:55.449;;;;;;Up
2017-05-02 08:25:51.881;;;;Up;Down;Up
2017-05-02 08:26:10.707;;;;Up;;
2017-05-02 08:28:59.934;;;;Up;Down;
2017-05-02 08:29:46.942;;;;Up;;
2017-05-02 08:31:02.215;;;;;;Down
2017-05-02 08:32:17.469;;;;;Up;
2017-05-02 08:34:19.648;;;;;Up;
2017-05-02 08:34:47.910;;;;Up;;Up
2017-05-02 08:35:25.485;;;;;;Down
2017-05-02 08:36:12.508;;;;;Up;
2017-05-02 08:39:39.393;;;;;Down;
2017-05-02 08:40:26.392;;;;;;Down
2017-05-02 08:40:45.205;;;;;;Up
2017-05-02 08:41:04.042;;;;;Down;
2017-05-02 08:41:41.662;;;;;;Up
2017-05-02 08:42:09.935;;;;;Up;
2017-05-02 08:43:34.537;;;;;Down;
2017-05-02 08:45:46.239;;;;Down;;
2017-05-02 08:47:10.860;;;;Up;;
2017-05-02 08:47:48.396;;;;Up;;
2017-05-02 08:48:44.835;;;;Up;;
2017-05-02 08:50:00.093;;;;;Up;
2017-05-02 08:50:28.277;;;;;Up;
2017-05-02 08:51:34.209;;;;;Down;
2017-05-02 08:53:55.252;;;;Down;;
2017-05-02 08:55:01.058;;;;Down;;Up
2017-05-02 08:56:06.877;;;;;Up;
2017-05-02 08:56:25.685;;;;;Down;
2017-05-02 08:57:22.049;;;;Up;;
2017-05-02 08:57:59.708;;;;Down;;
2017-05-02 08:58:37.322;;;;Down;;
2017-05-02 08:59:33.761;;;;Up;Up;
2017-05-02 09:00:01.921;;;;;Up;
2017-05-02 09:00:11.389;;;;Up;;
2017-05-02 09:01:26.524;;;;Up;;
2017-05-02 09:03:00.609;;;;;Down;
2017-05-02 09:10:50.669;;;;Down;Down;Up
2017-05-02 09:12:43.544;;;;Up;;
2017-05-02 09:16:48.011;;;;;Down;
2017-05-02 09:17:16.281;;;;;Up;
2017-05-02 09:17:53.930;;;;Up;;
2017-05-02 09:18:03.281;;;;Down;Down;Down
2017-05-02 09:18:22.090;;;;Up;;
2017-05-02 09:19:09.082;;;;;Up;
2017-05-02 09:19:46.703;;;;Down;;
2017-05-02 09:20:43.140;;;;Up;Down;
2017-05-02 09:21:01.957;;;;;Up;
2017-05-02 09:23:04.191;;;;Down;;
2017-05-02 09:23:23.011;;;;;Up;Up
2017-05-02 09:23:41.838;;;;Down;;
2017-05-02 09:24:47.643;;;;;Down;
2017-05-02 09:25:53.428;;;;;;Down
2017-05-02 09:28:33.330;;;;;Down;
2017-05-02 09:29:01.518;;;;Up;Up;
2017-05-02 09:30:26.251;;;;;Up;Down
2017-05-02 09:30:45.083;;;;Up;Up;Up
2017-05-02 09:30:54.539;;;;Up;Up;Up
2017-05-02 16:59:53.320;;;;Down;Down;Down
2017-05-02 18:14:42.118;;;;Down;Down;Down
2017-05-02 18:38:04.272;;;;Up;Up;Up
2017-05-02 18:44:20.720;;;;Up;;Up
2017-05-02 19:20:44.046;;;;Down;Down;Down
2017-05-02 19:20:53.400;;;;Down;Down;Down
2017-05-02 23:08:52.126;;;;Down;Down;Down
2017-05-03 06:14:45.254;;;;Up;Up;Up
2017-05-03 07:01:55.513;;;;Down;Down;Down
2017-05-03 07:02:04.847;;;;Down;;
2017-05-03 07:11:38.384;;;;;Down;
2017-05-03 07:34:02.969;;;;Up;Up;Up
2017-05-03 09:54:48.368;;;;Up;Up;Up
2017-05-03 10:22:23.690;;;;Up;Up;Up
2017-05-03 15:53:16.928;;;;Down;Down;Down
2017-05-03 15:53:26.395;;;;Down;Down;Down
2017-05-03 18:14:54.800;;;;Up;Up;Up
2017-05-03 20:15:47.622;;;;Down;Down;Down
2017-05-03 20:16:06.422;;;;Down;Down;Down
2017-05-03 23:09:30.533;;;;Down;Down;Down
2017-05-04 02:09:15.251;;;;Down;Down;Down
2017-05-04 06:07:29.211;;;;Up;Up;Up
2017-05-04 07:17:16.244;;;;;Up;Up
2017-05-04 09:09:53.039;;;;Down;Down;Down
2017-05-04 10:34:17.105;;;;Up;Up;Up
2017-05-04 10:34:26.452;;;;;Up;Up
2017-05-04 16:00:46.300;;;;Down;Down;Down
2017-05-04 17:59:16.549;;;;Down;Down;
2017-05-04 18:36:38.698;;;;Up;Up;Up
2017-05-04 18:39:00.038;;;;Up;Up;Up
2017-05-04 18:42:36.730;;;;Up;Up;Up
2017-05-04 19:55:17.921;;;;Down;Down;Down
2017-05-04 19:55:27.289;;;;Down;Down;Down
2017-05-04 23:28:13.224;;;;Down;Down;Down
2017-05-05 06:07:49.420;;;;Up;Up;Up
2017-05-05 08:29:24.245;;;;Up;Up;Up
2017-05-05 14:50:44.898;;;;Down;Down;Down
2017-05-05 15:27:28.202;;;;Up;Up;Up
2017-05-05 20:25:42.976;Over;;Over;;;
2017-05-05 20:26:11.282;Over;;;;;
2017-05-05 20:26:20.734;Over;;;;;
2017-05-05 20:26:30.085;Over;;;;;
2017-05-05 20:26:39.561;Over;Over;Over;;;
2017-05-05 20:26:48.901;Over;;;;;
2017-05-05 20:26:58.368;Over;Over;Over;;;
2017-05-05 22:53:31.764;Over;;;;;
2017-05-05 22:53:59.928;Over;;;;;
2017-05-05 22:58:14.003;Over;Over;;;;
2017-05-05 22:58:23.349;Over;;;;;
2017-05-05 22:59:00.986;Over;Over;;;;
2017-05-05 22:59:10.443;Over;Over;;;;
2017-05-05 22:59:19.809;Over;Over;;;;
2017-05-05 22:59:29.299;Over;Over;;;;
2017-05-05 22:59:38.625;Over;Over;;;;
2017-05-05 23:00:06.896;Over;Over;;;;
2017-05-05 23:00:16.365;Over;Over;;;;
2017-05-05 23:00:35.192;;Over;;;;
2017-05-05 23:00:44.537;Over;Over;;;;
2017-05-05 23:01:22.178;Over;Over;;;;
2017-05-05 23:01:50.452;Over;Over;;;;
2017-05-05 23:01:59.786;Over;Over;;;;
2017-05-05 23:02:09.276;Over;Over;;;;
2017-05-05 23:02:46.919;Over;Over;;;;
2017-05-05 23:02:56.269;Over;Over;;;;
2017-05-05 23:03:15.076;Over;Over;;;;
2017-05-05 23:03:24.558;Over;Over;;;;
2017-05-05 23:03:33.900;Over;Over;;;;
2017-05-05 23:03:43.370;Over;Over;;;;
2017-05-05 23:03:52.718;Over;Over;;;;
2017-05-05 23:04:02.203;Over;Over;Over;;;
2017-05-05 23:04:30.360;Over;Over;;;;
2017-05-05 23:04:39.824;Over;Over;;;;
2017-05-05 23:04:49.181;Over;Over;Over;;;
2017-05-05 23:04:58.640;Over;Over;Over;;;
2017-05-05 23:05:08.004;Over;Over;Over;;;
2017-05-05 23:05:26.843;Over;Over;Over;;;
2017-05-05 23:05:36.203;Over;Over;Over;;;
2017-05-05 23:05:55.013;Over;Over;Over;;;
2017-05-05 23:06:04.496;Over;Over;Over;;;
2017-05-05 23:06:13.843;Over;Over;Over;;;
2017-05-05 23:06:32.686;Over;Over;Over;;;
2017-05-05 23:06:42.039;Over;Over;Over;;;
2017-05-05 23:07:00.962;Over;Over;Over;;;
2017-05-05 23:07:10.304;Over;Over;Over;;;
2017-05-05 23:07:19.769;Over;Over;Over;;;
2017-05-05 23:07:29.143;Over;Over;Over;;;
2017-05-05 23:07:38.485;Over;Over;Over;;;
2017-05-05 23:07:47.946;Over;Over;Over;;;
2017-05-05 23:07:57.409;Over;Over;Over;;;
2017-05-05 23:08:06.757;Over;Over;Over;;;
2017-05-05 23:08:16.219;Over;Over;Over;;;
2017-05-05 23:08:25.565;Over;Over;Over;;;
2017-05-05 23:08:35.031;Over;Over;Over;;;
2017-05-05 23:08:44.381;Over;Over;Over;;;
2017-05-05 23:08:53.834;Over;Over;Over;;;
2017-05-05 23:09:03.183;Over;Over;Over;;;
2017-05-05 23:09:12.654;Over;Over;Over;;;
2017-05-05 23:09:40.815;Over;Over;Over;;;
2017-05-05 23:09:50.273;Over;Over;Over;;;
2017-05-05 23:09:59.721;Over;Over;Over;;;
2017-05-05 23:10:09.074;Over;Over;Over;;;
2017-05-05 23:10:27.911;Over;Over;Over;;;
2017-05-05 23:10:37.263;Over;Over;Over;;;
2017-05-05 23:10:46.720;Over;Over;Over;;;
2017-05-05 23:10:56.083;Over;Over;Over;;;
2017-05-05 23:11:14.892;Over;Over;Over;;;
2017-05-05 23:11:33.820;Over;Over;Over;;;
2017-05-05 23:11:43.163;Over;Over;Over;;;
2017-05-05 23:11:52.536;Over;Over;Over;;;
2017-05-05 23:12:01.997;Over;Over;Over;;;
2017-05-05 23:12:20.835;Over;Over;Over;;;
2017-05-05 23:12:30.208;Over;Over;Over;;;
2017-05-05 23:12:49.022;Over;Over;Over;;;
2017-05-05 23:12:58.487;Over;Over;Over;;;
2017-05-05 23:13:17.319;Over;Over;Over;;;
2017-05-05 23:13:26.685;Over;Over;Over;;;
2017-05-05 23:13:36.136;Over;Over;Over;;;
2017-05-05 23:13:54.962;Over;Over;Over;;;
2017-05-05 23:14:04.307;Over;Over;Over;;;
2017-05-05 23:14:13.756;Over;Over;Over;;;
2017-05-05 23:14:23.107;Over;Over;Over;;;
2017-05-05 23:14:32.580;Over;Over;Over;;;
2017-05-05 23:14:41.936;Over;Over;Over;;;
2017-05-05 23:15:00.740;Over;Over;Over;;;
2017-05-05 23:15:10.219;Over;Over;Over;;;
2017-05-05 23:15:19.568;Over;Over;Over;;;
2017-05-05 23:15:29.034;Over;Over;Over;;;
2017-05-05 23:15:47.846;Over;Over;Over;;;
2017-05-05 23:15:57.198;Over;Over;Over;;;
